"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","-2.33932031969628","20.9470248930307","10","26.977","98.782206"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","-2.14595457008745","29.8731047631613","20","26.9991","98.7732095"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","-1.74786454553385","37.6469176950636","30","26.9733","98.7661819"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","-0.982871460969564","43.848263894265","40","26.9752","98.7709295"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","-0.376039064919741","50.526588493068","50","27.0339","98.771813"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","1.42030781003447","65.2596557453793","75","27.0589","98.760066"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","3.31095000033465","79.0276785761002","100","27.0257","98.7687298"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","6.74179150907603","107.639979402992","150","26.9619","98.7738707"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","10.0888980267779","135.300100767483","200","26.9723","98.779682"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","16.4497425964533","193.428616510281","300","26.8798","98.7758971"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","22.1007125685293","244.861955624556","400","27.0332","98.7672658"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","30.4476116584115","343.175964358648","500","26.9872","98.8066337"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","34.9092198282387","422.064343376563","600","26.9275","98.8143137"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","38.5320432141096","599.945061617859","800","26.9774","98.821729"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","38.3857747250576","795.649800006493","1000","26.9946","98.8184838"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","37.6290686955894","991.122167316691","1200","27.0393","98.837122"
"1500 - wt-7 - mcgrath1","wt-7","mcgrath1","1500","35.6913604080666","1286.5525961425","1500","26.9821","98.8290895"
