"ppfd","alpha_old_lower","alpha_old","alpha_old_upper","J_at_25_lower","J_at_25","J_at_25_upper","RL_at_25_lower","RL_at_25","RL_at_25_upper","Tp_at_25_lower","Tp_at_25","Tp_at_25_upper","Vcmax_at_25_lower","Vcmax_at_25","Vcmax_at_25_upper"
100,-15.0011918610292,NA,NA,30.4396014275213,31.1146481259747,31.7971993282354,0.963564357937585,1.04965338318615,1.13572477082417,1.56590820500374,NA,NA,20.9420587918536,22.4890797899076,25.4618286139202
150,-2.2089280167167,NA,NA,46.6747014172975,47.6777576353976,48.7351451080931,1.33508997837995,1.45313186651423,1.57229828490215,2.81432226505714,NA,NA,28.8604276565688,31.1079872989797,32.9808836398803
200,-1.93829889670238,NA,NA,58.6782292450039,59.6391630787251,60.63554522037,0.953124994948528,1.0648093707049,1.17681955295892,3.69140805280998,NA,NA,34.676917081831,36.0019851245176,37.3261325928928
250,-19.9373233462649,NA,NA,72.5319005290332,73.717142412066,74.9160395194049,1.08316776143274,1.22382106559622,1.3645148528929,4.42074383287167,NA,NA,43.1867301699748,44.9532594337008,46.7216418473226
300,-5.04317907268338,0.123831802893222,0.198144813628665,86.1069614487503,87.2991893550679,88.3518242394993,1.08781183808561,1.20466604002025,1.32918099805755,5.33598724699721,5.97466467008199,6.02853726194041,51.9385355046216,53.5446934659431,55.9416052948909
400,0.542618952295791,0.668761216829689,0.807445105630408,104.753990309678,107.350333185379,108.967336900936,1.36273837192088,1.5163674758255,1.67057376933978,6.68804915849458,6.80598169768331,6.927676070716,61.1437441220659,62.8319358274806,64.6955628764023
450,0.587867747248695,0.615957177688194,0.675686996132304,109.284787977452,109.657573150514,110.172961707469,1.31001778831977,1.3595608337278,1.39037708867236,7.31877855066268,7.34131262032323,7.3948561591968,58.2769283444458,58.8981707312886,59.3610402102075
500,0.655083326016721,0.782567239848152,0.908353540196073,117.954959052921,123.076771179837,124.769635680862,1.34316226069038,1.53127429002708,1.71937904960651,7.05529036583439,7.1878295820559,7.32035907045685,68.7758586192196,70.5337938881181,72.3592631642624
600,0.773760663122082,0.8401955320301,0.920077939539048,110.825810477889,112.635595566238,114.500814950422,0.899627851111613,1.01018375607307,1.12070556497583,6.51358413458827,6.58274169105314,6.65773497638821,62.6470100760268,63.9122446611012,65.146777831325
800,0.965029541781154,1.10434494298303,1.29103457739984,135.161922689515,NA,NA,0.405147736601533,0.720545671526605,1.03865606486436,7.35902738866538,7.54466160258379,7.73860507836505,73.0469825183359,75.3494492012859,78.1338614420449
1000,0.59792486714849,0.827125937574314,1.08673968063195,128.47915393405,NA,NA,1.19356479208647,1.63854515062532,2.08348306989964,7.71463720018688,8.01372751806445,8.32219824118473,66.7683291545503,70.7357802568406,74.7026372714523
1200,0.791380738380739,0.975646267068047,1.14942703573011,159.378491877719,165.558130419564,172.762463232361,0.893911595681041,1.25059731033416,1.60890494473604,9.10110911554689,9.35262413746303,9.60381096343629,87.8891887143658,90.7253763188636,93.6467529979661
1500,1.05964237692372,1.16976406641877,1.27544126409225,164.938677211655,169.446409079552,174.187252523927,1.24088168742869,1.48422161349721,1.71785383175623,9.36707768881106,9.5279954322534,9.68875977059788,86.9772667480102,88.854342588813,90.9699336325483
